
Joint Seat Allocation Authority 2025
IITs, NITs, IIEST, IIITs and Other-GFTIs for the Academic Year 2025-26

Opening/Closing Ranks for Open Seats represent CRL. Opening/Closing Ranks for EWS, OBC-NCL, SC and ST Seats represent respective Category Ranks. Opening/Closing Ranks for PwD Seats represent PwD Ranks within Respective Categories.

If the Closing/Opening rank has a suffix 'P', it indicates that the corresponding rank is from Preparatory Rank List.
Institute	Academic Program Name	Quota	Seat Type	Gender	Opening Rank	Closing Rank
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Female-only (including Supernumerary) 	824 	1778
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Gender-Neutral 	23 	290
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Female-only (including Supernumerary) 	294 	522
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Gender-Neutral 	1 	66
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Female-only (including Supernumerary) 	29 	369
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN (PwD) 	Gender-Neutral 	1 	4
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN (PwD) 	Female-only (including Supernumerary) 	12 	12
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Gender-Neutral 	5 	20
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Female-only (including Supernumerary) 	38 	53
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	EWS (PwD) 	Gender-Neutral 	3 	3
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Gender-Neutral 	6 	54
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Female-only (including Supernumerary) 	70 	331
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL (PwD) 	Gender-Neutral 	2 	3
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Gender-Neutral 	1 	31
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Female-only (including Supernumerary) 	111 	270
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	SC (PwD) 	Gender-Neutral 	1 	1
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Gender-Neutral 	2 	19
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Female-only (including Supernumerary) 	17 	76
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	ST (PwD) 	Gender-Neutral 	1 	1
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science) 	AI 	OPEN 	Gender-Neutral 	1531 	2372
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science) 	AI 	OPEN 	Female-only (including Supernumerary) 	3744 	4928
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science) 	AI 	EWS 	Gender-Neutral 	498 	554
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science) 	AI 	EWS 	Female-only (including Supernumerary) 	978 	978
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science) 	AI 	OBC-NCL 	Gender-Neutral 	993 	1405
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science) 	AI 	OBC-NCL 	Female-only (including Supernumerary) 	2899 	3344
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science) 	AI 	SC 	Gender-Neutral 	371 	855
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science) 	AI 	SC 	Female-only (including Supernumerary) 	1565 	1565
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science) 	AI 	ST 	Gender-Neutral 	691 	828
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science) 	AI 	ST 	Female-only (including Supernumerary) 	564 	564
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Gender-Neutral 	106 	433
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Female-only (including Supernumerary) 	779 	1914
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN (PwD) 	Gender-Neutral 	23 	23
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Gender-Neutral 	51 	113
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Female-only (including Supernumerary) 	235 	396
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology) 	AI 	EWS (PwD) 	Gender-Neutral 	11 	11
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Gender-Neutral 	122 	339
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Female-only (including Supernumerary) 	588 	1117
